id,TL,ZH
1,Obama tua7-sing3 bi2-kok4 thau5-tsit8-ui7 oo1-lang5 tsong2-thong2,Obama 大勝 美國 頭一位 烏人 總統
2,tsu3-bi2 tik8-phai3-uan5 tso5-hiok4-hun1 hua5-hu2 po3-to7,駐美 特派員 曹郁芬 華府 報導
3,Obama tua7-sing3 bi2-kok4 thau5-tsit8-ui7 oo1-lang5 tsong2-thong2,Obama 大勝 美國 頭一位 烏人 總統
4,ap4-to2-sing3 sing3-li7 tshong3-tso7 sin1-lik8-su2,壓倒性 勝利 創造 新歷史
5,bin5-tsu2-tong2 tsong2-thong2 hau7-suan2-jin5 Obama si3-jit8 i2 ap4-to2-sing3 sing3-li7,民主黨 總統 候選人 Obama 四日 以 壓倒性 勝利
6,tong3-suan2 bi2-kok4 lik8-su2 siong7 thau5-tsit8-ui7 oo1-lang5 tsong2-thong2,當選 美國 歷史 上 頭一位 烏人 總統
7,i1 ti7 Chicago e5 sing3-suan2 ian2-suat4 tiong1,伊 佇 Chicago 的 勝選 演說 中
8,tui3-tioh8 ji7-tsap8 jua7 ban7 tsi1-tshi5-tsia2 suan1-ko3,對著 二十 偌 萬 支持者 宣告
9,kai2-pian3 i2-king1 lai5-kau3 bi2-kok4,改變 已經 來到 美國
10,ti7 i2-king1 khui1-tshut4 e5 suan2-phio3 tiong1,佇 已經 開出 的 選票 中
11,Obama m7-na7 i2 pah4-hun1-tsi1 goo7-tsap8-ji7,Obama 毋但 以 百分之 五十二
12,( tai7-khai3 lak8-tshing1-nng7-pah4-kau2-tsap8-lak8 ban7 phio3 ) e5 phoo2-suan2 phio3,（ 大概 六千兩百九十六 萬 票 ） 的 普選 票
13,iann5-ke3 kiong7-ho5-tong2 hau7-suan2-jin5 McCain e5 pah4-hun1-tsi1 si3-tsap8-lak8,贏過 共和黨 候選人 McCain 的 百分之 四十六
14,( tai7-khai3 goo7-tshing1-goo7-pah4-tshit4-tsap8-lak8 ban7 phio3 ),（ 大概 五千五百七十六 萬 票 ）
15,suan2-ki2-jin5 phio3 kinn1 tshiau1-uat8 McCain tsit8-pue7 gua7,選舉人 票 kinn1 超越 McCain 一倍 偌
16,suan2-ki2-lang5 phio3 kinn1 tshiau1-uat8 McCain tsit8-pue7 gua7,選舉人 票 kinn1 超越 McCain 一倍 偌
17,si3-tsap8-tshit4 he3 e5 Obama,四十七 歲 的 Obama
18,tsiong1-ti7 me5-ni5 it4-geh8 ji7-tsap8 jit8 suan1-se3-tsiu7-tsit4,將佇 明年 一月 二十 日 宣誓就職
19,sing5-ui5 bi2-kok4 te7-si3-tsap8-si3 kai3 tsong2-thong2,成為 美國 第四十四 屆 總統
20,bi2-kok4 soo2-iu2 tua7-tian7-si7-bang7,美國 所有 大電視網
21,ti7 bi2-tang1 si5-kan1 si3-ho7 tshim1-ia7 tsap8-it4 tiam2 suan1-poo3,佇 美東 時間 四號 深夜 十一 點 宣布
22,Obama e5 suan2-ki2-jin5 phio3-soo3,Obama 的 選舉人 票數
23,i2 tshiau1-uat8 tong3-suan2 soo2-su1-iau3 e5 nng7-pah4-tshit4-tsap8 phio3,已 超越 當選 所需要 的 兩百七十 票
24,siu2-ti7 Chicago king7-suan2 tsong2-poo7,守佇 Chicago 競選 總部
25,kah4 tsuan5-kok4 kok4-te7 Obama e5 tsi1-tshi5-tsia2,佮 全國 各地 Obama 的 支持者
26,hit4-si5-tsun7 hiang2-khi2 tsit8-si3-kue3 huan1-hoo1-siann1,彼時陣 響起 一四界 歡呼聲
27,he7-mia7 lang7-tioh8 kok4-ki5,下命 弄著 國旗
28,tsin1-tse7 tsi1-tshi5-tsia2 kik4-tong7-kau3 lau5-bak8-sai2,真濟 支持者 激動到 流目屎
29,hoo7-siong1 sio1-lam2,互相 相攬
30,bi2-kok4 tsu2-liu5 po3-tsua2 goo7-ho7,美國 主流 報紙 五號
